25,618,81,459,12,18
285,612,297,583,12,10
538,602,506,628,15,17
249,586,233,576,9,12
301,572,302,640,10,13
479,465,477,468,9,7
312,462,224,572,13,13
73,458,139,445,17,19
540,456,547,442,11,9
543,447,528,576,11,15
139,447,159,421,17,12
152,433,197,370,23,12
89,425,220,342,18,11
558,416,580,398,7,13
539,414,526,492,12,5
311,394,258,382,15,9
229,378,244,294,9,9
198,358,189,245,13,14
570,351,579,333,16,12
232,346,268,250,9,13
551,344,524,430,13,9
234,319,157,250,6,12
401,318,397,297,9,9
522,306,513,322,17,14
552,298,509,263,14,16
482,297,456,302,7,9
399,297,295,383,13,11
513,278,494,208,19,9
419,260,428,310,16,9
174,246,87,237,7,18
361,245,334,230,14,13
189,244,286,188,12,9
495,234,495,191,11,8
65,229,64,227,13,15
308,216,379,174,9,12
473,169,408,272,12,11
236,146,249,139,13,12
25,110,41,167,13,14
104,97,148,70,12,13
111,89,170,28,12,9
614,50,550,340,13,16
504,25,576,308,10,13