450,531,447,548,7,4
425,551,429,535,6,4
425,551,447,548,6,4
453,445,451,461,11,8
475,413,480,415,5,7
433,398,435,419,7,7
447,361,465,352,17,16
423,362,433,364,22,20
432,320,423,326,21,17
436,287,442,294,14,16
474,313,481,316,11,11
399,359,403,371,7,7
405,256,414,276,7,5
446,218,432,226,14,11
401,239,414,221,7,9
451,235,457,256,13,13
472,192,479,182,8,10
472,192,475,177,8,14
455,113,435,110,21,17
445,39,439,22,7,4
410,112,435,110,9,17
410,112,432,92,9,10
401,92,391,75,17,15
401,92,432,92,17,10
395,60,391,75,6,15
386,42,380,42,7,4
386,42,396,46,7,6
386,42,373,29,7,16
382,26,373,29,10,16
382,26,380,42,10,4
382,26,396,46,10,6
385,162,392,180,6,6
356,192,375,183,7,8
359,140,344,122,14,9
315,73,322,87,9,7
363,408,363,411,10,7
327,495,317,520,4,3
327,495,298,464,4,2
276,486,269,492,4,9
276,486,298,464,4,2
250,503,269,492,10,9
339,359,335,363,5,6
285,340,286,333,6,7
257,319,253,321,6,11
257,319,265,301,6,11
280,285,265,301,11,11
298,268,302,270,13,9
327,249,335,237,8,6
341,239,335,237,12,6
341,239,352,226,12,8
358,273,370,285,7,4
188,518,216,518,10,10
172,510,171,514,11,5
150,524,171,514,4,5
79,552,65,552,4,3
161,493,163,502,4,8
161,493,163,478,4,3
161,493,171,514,4,5
169,465,163,478,5,3
169,465,167,447,5,1
169,465,151,467,5,14
37,416,26,418,5,8
10,312,18,321,10,16
122,347,96,351,7,5
122,347,147,369,7,5
77,275,81,272,6,6
77,275,60,256,6,12
48,276,60,256,14,12
48,276,81,272,14,6
47,74,62,64,5,3
78,47,80,26,7,5
78,47,62,64,7,3
153,134,132,142,11,10
142,140,130,147,2,3
142,140,132,142,2,10
134,70,122,60,7,8
169,47,184,24,9,7
192,12,183,8,6,6
192,12,184,24,6,7
213,226,224,227,7,3
148,375,147,369,2,5
148,375,157,380,2,7
153,408,167,447,4,1
146,492,163,502,16,8
146,492,163,478,16,3
118,547,105,552,20,21
118,547,123,528,20,19
104,535,105,552,24,21
104,535,123,528,24,19
132,516,138,509,31,27
156,433,155,434,28,24
182,377,190,358,20,20
182,377,174,396,20,24
190,346,190,358,25,20
190,346,193,340,25,14
190,346,191,330,25,21
180,358,190,358,13,20
181,326,191,330,13,21
181,326,190,311,13,15
181,326,193,340,13,14
180,282,190,311,13,15
164,284,167,270,5,7
164,284,177,303,5,12
183,265,199,269,25,21
200,273,199,269,26,21
175,236,189,249,20,28
175,236,203,237,20,8
214,191,215,203,25,23
214,191,226,185,25,19
201,181,208,165,22,19
201,181,226,185,22,19
240,136,252,120,22,24
188,150,200,128,10,9
188,150,208,165,10,19
178,205,179,213,2,8
178,205,188,206,2,19
289,14,281,14,5,3
256,54,252,50,7,4
237,85,245,86,14,12
306,23,315,12,28,29
308,64,319,50,33,36
296,64,298,60,25,28
287,79,289,89,30,23