14,633,17,624,16,11
29,542,34,514,20,14
22,515,23,495,18,14
101,521,116,534,14,12
217,540,213,545,13,14
310,574,315,588,10,13
161,436,148,420,15,16
219,390,209,393,15,10
80,405,94,395,24,16
36,418,42,391,22,17
56,321,42,297,22,23
37,309,18,282,19,19
432,501,435,530,10,11
261,343,256,330,12,11
605,483,601,493,22,18
557,479,527,478,13,17
445,468,445,447,13,14
416,377,427,374,13,14
323,307,345,333,14,14
268,227,260,208,13,13
245,166,251,187,17,13
227,159,217,158,18,14
122,77,103,74,17,16
196,44,211,76,16,15
220,96,231,103,21,20
227,74,232,64,23,17
261,109,266,115,24,18
276,84,254,93,19,20
335,153,352,168,24,18
383,165,405,183,21,19
361,119,371,120,13,13
434,199,457,206,28,26
422,213,429,216,18,23
404,56,402,77,21,18
436,31,445,39,19,20
488,51,498,62,16,15
577,122,565,116,18,17
603,106,593,86,16,18
581,221,578,213,15,13
478,260,487,265,24,17
502,265,519,271,28,21
544,270,538,275,24,23
521,284,534,291,16,20
564,293,588,313,17,20
538,310,547,312,19,17
554,321,569,338,12,12
609,358,618,371,20,19
602,328,597,314,27,23